Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Italian 1 | ITALIAN 101,Lecture Section 01,5632,15,15,0.0,No,2021-07-01 11:22:33.768254
Elementary Italian 1 | ITALIAN 101,Lecture Section 02,5633,15,15,0.0,No,2021-07-01 11:22:36.165114
Elementary Italian 1 | ITALIAN 101,Lecture Section 03,5634,15,15,0.0,No,2021-07-01 11:22:38.570552
Elementary Italian 1 | ITALIAN 101,Lecture Section 04,5635,15,15,0.0,No,2021-07-01 11:22:40.931309
Elementary Italian 1 | ITALIAN 101,Lecture Section 05,5636,15,15,0.0,No,2021-07-01 11:22:43.280570
Elementary Italian 1 | ITALIAN 101,Lecture Section 06,5637,15,15,0.0,No,2021-07-01 11:22:45.617326
Elementary Italian 2 | ITALIAN 102,Lecture Section 01,5638,15,15,0.0,No,2021-07-01 11:22:47.970576
Elementary Italian 2 | ITALIAN 102,Lecture Section 02,5639,15,15,0.0,No,2021-07-01 11:22:50.343392
Elementary Italian 2 | ITALIAN 102,Lecture Section 03,5640,15,15,0.0,No,2021-07-01 11:22:52.740267
Elementary Italian 2 | ITALIAN 102,Lecture Section 04,5641,15,15,0.0,No,2021-07-01 11:22:55.159867
Accelerated Elementary Italian | ITALIAN 112,Lecture Section 01,5642,15,15,0.0,No,2021-07-01 11:22:57.484983
Focus Topics in Italian Literature and Culture | ITALIAN 190FS,SEM Section 01,5717,2,18,88.88888888888889,No,2021-07-01 11:22:59.819058
Intermediate Italian | ITALIAN 203,Lecture Section 01,5643,15,15,0.0,No,2021-07-01 11:23:02.184797
Intermediate Italian | ITALIAN 203,Lecture Section 02,5644,15,15,0.0,No,2021-07-01 11:23:04.569765
Intermediate Italian | ITALIAN 203,Lecture Section 03,5645,15,15,0.0,No,2021-07-01 11:23:06.917827
Intermediate Italian | ITALIAN 203,Lecture Section 04,5646,15,15,0.0,No,2021-07-01 11:23:09.310942
Intermediate Italian | ITALIAN 203,Lecture Section 05,5647,15,15,0.0,No,2021-07-01 11:23:11.718215
Italian Baroque Art | ITALIAN 256,Lecture Section 01,9141,12,12,0.0,No,2021-07-01 11:23:14.045215
"Introduction to Italian Studies: Language, Literature, Film | ITALIAN 301S",SEM Section 01,5648,15,15,0.0,No,2021-07-01 11:23:16.392856
Major Italian Authors | ITALIAN 335,Lecture Section 01,5700,18,18,0.0,No,2021-07-01 11:23:18.721960
Italian Cinema | ITALIAN 380,Lecture Section 01,5705,18,18,0.0,No,2021-07-01 11:23:21.051524
Italian Cinema - Preceptorial | ITALIAN 380P,PRC Section 01P,5715,18,18,0.0,No,2021-07-01 11:23:23.445238
"Food, Culture, and Society | ITALIAN 388S",SEM Section 01,5747,15,15,0.0,No,2021-07-01 11:23:25.843364
Research Independent Study | ITALIAN 393,IND Section 01,2128,1,1,0.0,No,2021-07-01 11:23:28.225280
Research Independent Study | ITALIAN 393,IND Section 02,2129,1,1,0.0,No,2021-07-01 11:23:30.559372
Research Independent Study | ITALIAN 493,IND Section 01,2130,1,1,0.0,No,2021-07-01 11:23:32.893963
Research Independent Study | ITALIAN 493,IND Section 02,2131,1,1,0.0,No,2021-07-01 11:23:35.222058
Elementary Italian 1 | ITALIAN 101,Lecture Section 01,5632,15,15,0.0,No,2021-07-01 17:42:52.671801
Elementary Italian 1 | ITALIAN 101,Lecture Section 02,5633,15,15,0.0,No,2021-07-01 17:42:55.124042
Elementary Italian 1 | ITALIAN 101,Lecture Section 03,5634,15,15,0.0,No,2021-07-01 17:42:57.545230
Elementary Italian 1 | ITALIAN 101,Lecture Section 04,5635,15,15,0.0,No,2021-07-01 17:43:00.061035
Elementary Italian 1 | ITALIAN 101,Lecture Section 05,5636,15,15,0.0,No,2021-07-01 17:43:02.447263
Elementary Italian 1 | ITALIAN 101,Lecture Section 06,5637,15,15,0.0,No,2021-07-01 17:43:04.815708
Elementary Italian 2 | ITALIAN 102,Lecture Section 01,5638,15,15,0.0,No,2021-07-01 17:43:07.197242
Elementary Italian 2 | ITALIAN 102,Lecture Section 02,5639,15,15,0.0,No,2021-07-01 17:43:09.574958
Elementary Italian 2 | ITALIAN 102,Lecture Section 03,5640,15,15,0.0,No,2021-07-01 17:43:11.935286
Elementary Italian 2 | ITALIAN 102,Lecture Section 04,5641,15,15,0.0,No,2021-07-01 17:43:14.277886
Accelerated Elementary Italian | ITALIAN 112,Lecture Section 01,5642,15,15,0.0,No,2021-07-01 17:43:16.620097
Focus Topics in Italian Literature and Culture | ITALIAN 190FS,SEM Section 01,5717,2,18,88.88888888888889,No,2021-07-01 17:43:18.991385
Intermediate Italian | ITALIAN 203,Lecture Section 01,5643,15,15,0.0,No,2021-07-01 17:43:21.365192
Intermediate Italian | ITALIAN 203,Lecture Section 02,5644,15,15,0.0,No,2021-07-01 17:43:23.749135
Intermediate Italian | ITALIAN 203,Lecture Section 03,5645,15,15,0.0,No,2021-07-01 17:43:26.428868
Intermediate Italian | ITALIAN 203,Lecture Section 04,5646,15,15,0.0,No,2021-07-01 17:43:28.965171
Intermediate Italian | ITALIAN 203,Lecture Section 05,5647,15,15,0.0,No,2021-07-01 17:43:31.410878
Italian Baroque Art | ITALIAN 256,Lecture Section 01,9141,12,12,0.0,No,2021-07-01 17:43:34.043594
"Introduction to Italian Studies: Language, Literature, Film | ITALIAN 301S",SEM Section 01,5648,15,15,0.0,No,2021-07-01 17:43:36.570910
Major Italian Authors | ITALIAN 335,Lecture Section 01,5700,18,18,0.0,No,2021-07-01 17:43:38.950843
Italian Cinema | ITALIAN 380,Lecture Section 01,5705,18,18,0.0,No,2021-07-01 17:43:41.473020
Italian Cinema - Preceptorial | ITALIAN 380P,PRC Section 01P,5715,18,18,0.0,No,2021-07-01 17:43:43.967725
"Food, Culture, and Society | ITALIAN 388S",SEM Section 01,5747,15,15,0.0,No,2021-07-01 17:43:46.496492
Research Independent Study | ITALIAN 393,IND Section 01,2128,1,1,0.0,No,2021-07-01 17:43:49.002672
Research Independent Study | ITALIAN 393,IND Section 02,2129,1,1,0.0,No,2021-07-01 17:43:51.488509
Research Independent Study | ITALIAN 493,IND Section 01,2130,1,1,0.0,No,2021-07-01 17:43:53.891814
Research Independent Study | ITALIAN 493,IND Section 02,2131,1,1,0.0,No,2021-07-01 17:43:56.355793
